title,genre,rating,poster_path,overview,id
She Rides Shotgun,Action,71,/nvqW8mOm818QDio3GKKmPLK8kXj.jpg,"Newly released from prison and marked for death by unrelenting enemies, Nate must now protect his estranged 11-year-old daughter, Polly, at all costs. With scant resources and no one to trust, Nate and Polly forge a bond under fire as he shows her how to fight and survive—and she teaches him the true meaning of unconditional love.",1196573
Wicked: For Good,Fantasy,67,/si9tolnefLSUKaqQEGz1bWArOaL.jpg,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",967941
Zootopia,Animation,78,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",269149
Frankenstein,Drama,78,/g4JtvGlQO7DByTI6frUobqvSL3R.jpg,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",1062722
Five Nights at Freddy's 2,Horror,64,/am6O7221qGtb5ba5uJKw7PfPZkJ.jpg,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth about what transpired kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the true origin of Freddy's, and unleash a long-forgotten horror hidden away for decades.",1228246
JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-,Animation,52,/tc7RrVW5FGvyO2tsgW6LIN1esHI.jpg,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",1539104
Art of Eight Limbs,Action,64,/tZRypLd2SU3Eeqg5tD5cwkk5CdL.jpg,Four canisters of deadly VX nerve gas have fallen into the hands of an international arms dealer in Myanmar. A CIA recruit delivers a high-tech detection device to an agent already on the ground.,1208561
Bugonia,Sci-Fi,75,/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",701387
Demon Slayer: Kimetsu no Yaiba Infinity Castle,Animation,76,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",1311031
A Legend,Action,68,/qbImUt1d3itXcB81BCItPZlfbyr.jpg,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,1116465
Now You See Me: Now You Don't,Thriller,63,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",425274
One Battle After Another,Thriller,74,/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",1054867
KPop Demon Hunters,Fantasy,82,/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",803796
Succubus,Horror,89,/nyGKQrctWNmhSvto8h60AhZ3iLz.jpg,A new father going through a marital separation joins a dating app and matches with a beautiful but mysterious young woman... whose powers of seduction and manipulation entangle him in a mystery more horrifying than he could have ever imagined.,1130276
Regretting You,Romance,71,/z4gVnxTaks3anTycwKjDmvQSuWt.jpg,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",1327862
High School of the Dead: Drifters of the Dead,Comedy,74,/qXy2J2oy6JF369gZuUIQkr7MQn0.jpg,"In their efforts to find a safe haven from the zombie apocalypse, the gang find themselves on a deserted island. Now, they take advantage of the momentary respite to enjoy some surf, sand and bathing suits!",203101
Playdate,Action,62,/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",1248226
Oh. What. Fun.,Comedy,64,/qynCyBKCJUUcj4wo4PE2aQVvote.jpg,"Claire Clauster is the glue that holds her chaotic, lovable family together at the holidays. But this year, after planning a special outing for them, they make a crucial mistake and leave her home alone. Fed up and feeling under appreciated, she sets off on an impromptu adventure of her own. As her family scrambles to find her, Claire discovers the unexpected magic of a Christmas gone off-script.",1261825
High Ground,Thriller,60,/cqF7xuZWbBYXWHsp1I1H5PwujPs.jpg,"When a mysterious prisoner lands in jail, a border town sheriff faces the wrath of a brutal cartel.",1433719
Black Phone 2,Horror,68,/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",1197137
Chainsaw Man - The Movie: Reze Arc,Animation,78,/xdzLBZjCVSEsic7m7nJc4jNJZVW.jpg,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",1218925
Prep & Landing: The Snowball Protocol,Animation,76,/olbxBEAGaYCgyi2EEecuwa5tuUl.jpg,"Christmas elves Lanny and Wayne panic when their holiday missions go awry, leaving Wayne thinking he’s in BIG trouble with Santa and accidentally revealing other merry mishaps.",1550797
Avatar: Fire and Ash,Sci-Fi,0,/g96wHxU7EnoIFwemb2RgohIXrgW.jpg,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",83533
The Fantastic 4: First Steps,Sci-Fi,70,/pZPJsaFKWheTOerVhLnpP8TPp4B.jpg,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",617126
xXx,Action,59,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",7451
The Prosecutor,Action,68,/n3ZnFqp988MWfIkT8OHofEJfjlt.jpg,"A poor young man is wrongly charged with drug trafficking after being deceived. An ex-prosecutor investigates the case, uncovers a corrupt lawyer team's scheme, and restores justice despite obstruction from evil forces.",1128650
Mission: Impossible - The Final Reckoning,Action,72,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",575265
First Moon,Horror,41,/hcjYvv4k9qs0lDG1Q3GIglT30IW.jpg,"A young waitress is abducted by a religious cult, who are hell-bent on curing her from a sexually transmitted werewolf virus - or killing her in the process. Will she escape before the first full moon?",1468417
The Storm,Animation,60,/rIwxNjhl0ndF0V5zrYGdwplAJAU.jpg,"Poverty-stricken Daguzi encounters a child - Mantou - floating downstream at the river bank, he decides to take him by his side as his son, with compassion and affection.",1026821
Wicked,Drama,69,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",402431
Jingle Bell Heist,Romance,60,/rVOQF2Ucekug1B80A9crVx7Jn90.jpg,Two down-on-their-luck hourly workers team up to rob a posh London department store on Christmas Eve. Will they steal each other's hearts along the way?,1218762
The Conjuring: Last Rites,Horror,69,/byWgphT74ClOVa8EOGzYDkl8DVL.jpg,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,1038392
The Gentleman,Action,68,/iIIZ3qIh7A3B8Y1VVo5laFyusVV.jpg,"Aging ex-soldier Theo meets weekly with prostitute Olga to reminisce. After Olga's murder, Theo seeks bloody revenge, attracting attention of alcoholic cop Iborra and hitman Herodes.",1426968
Sisu: Road to Revenge,Action,78,/vUiAm0jbrPgbUDCOhRKsvdT0u5h.jpg,"Returning to the house where his family was brutally murdered during the war, 'the man who refuses to die' dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the Red Army commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues — a fight to the death.",1223601
The Witness,Drama,77,/1tzK329TG6wfzEIx60v3PUlcBDO.jpg,"In Iran, the retired dance teacher Tarlan witnesses her friend Rana's murder by her husband, who is an important government figure. When the police refuse to investigate, Tarlan must decide whether to bow to political pressure or risk her reputation and livelihood in pursuit of justice.",1320414
Beast of War,Thriller,63,/2xgDjVEOtu5LlbPEngxfbCqWEFg.jpg,"When their boat sinks while crossing the Timor Sea during World War II, a troop of young Australian soldiers must find a way to survive the harsh seas on a quickly shrinking raft. Hundreds of miles from anywhere, they must confront interpersonal conflicts, enemy attacks, and the advances of one very large, very hungry great white shark.",1244531
Operation Blood Hunt,Action,66,/wYf4Eq3c4iOa856tEwh3GHruHZW.jpg,"Prolific expert of the occult and whiskey, Reverend Conte, accompanies a ragtag group of military rejects to a remote South Pacific Island to investigate the disappearance of Marines units  stationed there in 1944, said to be at the hands of the Japanese Imperial Army. Upon speaking  with the island’s inhabitants, they soon discover the Marines had actually been massacred by a group of Lycanthropes, known to most as WEREWOLVES.",1084222
Spithood,Horror,52,/loH2BJPC7dlCw8e8QNEZCz9kTc2.jpg,"When a dangerous patient escapes confinement in a mental asylum and goes on a rampant killing spree, the night shift staff face their worst nightmare, as they fight for survival.",1377505
Two Worlds One Wish,Romance,78,/mZcwX1aN2RdCLwamxdkoINIhVAm.jpg,"Twenty-one years after a magical meeting at a children's hospital, Bilge and Can suddenly begin hearing each other's voices telepathically. What seems like a miracle soon reveals a hidden secret, as fate-reuniting them after decades-has much more in store.",1522377
Nahual,Horror,32,/gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg,"Katia Montero's exotic getaway spirals into terror when she becomes possessed by a bloodthirsty animal spirit. Erotic encounters, violence, and ancient legends converge to deliver a chilling new twist on a South American myth.",1481331
Sidelined 2: Intercepted,Romance,0,/sEIP1pTVXa8BJaYSuVeVG3wFN10.jpg,"Freshman star quarterback Drayton struggles with the weight of expectations after a devastating setback, while dancer Dallas begins to question the future she thought she wanted. As their high school relationship begins to unravel under the pressures of distance and self-discovery, they’ll learn that the bravest versions of themselves emerge when they let life redirect them.",1429520
DEEMO Memorial Keys,Animation,75,/myQiAsoHWmVcoHkpYqb8jI0fhGD.jpg,"Deemo is a lonely individual who lives in solitude, playing the piano in a castle. One day, a girl who has lost her memory falls from the sky. Wanting to help her recover her memories and return to her world, Deemo discovers that a tree kept atop the piano will grow whenever the piano is played.",648457
My Fault,Drama,77,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",1010581
Superman,Sci-Fi,74,/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",1061474
Shelby Oaks,Horror,57,/i3omY4P6QUzFQlEeclWY92RuXCH.jpg,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.,937941
The Avengers,Sci-Fi,78,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",24428
Jurassic World Rebirth,Sci-Fi,63,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",1234821
Roofman,Crime,72,/pUpFD3Oq1eN5mdF9MDwCwH874P8.jpg,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname 'Roofman'. After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",1242419
Stand Your Ground,Action,46,/vKB59pPIYvjRxxEXoRoyUfaiBoD.jpg,"Former Special Forces operative, Jack Johnson, uses the Stand Your Ground law to seek vengeance for his wife’s murder, igniting a brutal war against a local crime lord’s family and ending in an explosive showdown.",1296504
Laberinto de sombras,Horror,52,/565kBAr0hvgLbJKyAd3dUKk2xn0.jpg,,1280518
Five Nights at Freddy's,Horror,74,/4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",507089
Train Dreams,Drama,73,/l3zS4YnpOi4usyEXGJMtxSqDDyb.jpg,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,1241983
Sidelined: The QB and Me,Comedy,60,/mSL6truNrWP1Bn9ng1rN0SkMI4f.jpg,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",957119
Creepshow 2,Horror,62,/bbanIymLuTYmQGis9nlCkFlT1eg.jpg,"Three macabre tales from the latest issue of a boy's favorite comic book, dealing with a vengeful wooden Native American, a monstrous blob in a lake, and an undying hitchhiker.",16288
31 Minutes: One Hot Christmas,Family,73,/dv9UrOoicRiMGkzr2oj2YwSFY2K.jpg,"Puppeton, the town of 31 Minutes, faces such an infernally hot Christmas that Santa Claus cancels his visit! Bodoque the rabbit heroically volunteers to rescue the presents from the North Pole, while his friends improvise a disastrous Christmas show. But what they don't expect is Bodoque giving in to some irresistible temptations along the way.",1237082
Interstellar,Adventure,84,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,157336
F1,Action,78,/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,911430
Our Fault,Romance,74,/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",1156594
Code 3,Action,66,/gIAYMDb5mIAeCAj76q1sRsKjkzo.jpg,A burned-out paramedic tries to survive his last 24 hours on the job while training a new recruit.,1161617
Wake Up Dead Man: A Knives Out Mystery,Comedy,80,/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",812583
Captain Hook: The Cursed Tides,Adventure,50,/bcP7FtskwsNp1ikpMQJzDPjofP5.jpg,"In the aftermath of a devastating defeat by his archnemesis Admiral Smee, Captain Hook finds refuge in the coastal town of Eldritch Landing.",1511789
The Running Man,Action,68,/dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite - and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",798645
Witchy Ways,Fantasy,70,/aE6UNLmcpjaHGrLVsBjeF2OPoiS.jpg,"Eve quits the rat race and heads to a cabin to rediscover herself. She promptly falls for her dynamic new next-door neighbor, Danni. As they grow close, Danni confesses she is a witch but reveals another ghostly secret threatening to destroy their chance at love.",1053987
How to Train Your Dragon,Fantasy,79,/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",1087192
Monster Island,Horror,58,/x1JOs4xWNr1QYjDAXHxWw1NJ7Sq.jpg,"In the Pacific, 1944, a Japanese soldier and a British prisoner of war are stranded on a deserted island, hunted by a deadly creature. Two mortal enemies must come together to survive the unknown.",1214140
Troll,Fantasy,65,/ulgKdif3ubMACDltr8VZy6fyVjW.jpg,"When an explosion in the Norwegian mountains awakens an ancient troll, officials appoint a fearless paleontologist to stop it from wreaking deadly havoc.",736526
Shahenshah,Action,61,/g8noCys7ElC73lcluN4kDeUzhYQ.jpg,"Inspector Srivastav is framed by a wily and cunning gangster, J.K., and unable to prove his innocence, hangs himself, leaving behind his wife, and son, Vijay. Years later, Vijay has grown up and has joined the police force as an Inspector. Unlike his dad, he is corrupt and does accept bribes to turn a nelson's eye to crime. The City Police are assigned the task of apprehending a customed man called ""Shahenshah"", who operates at night and targets, tries and kills gangsters in a ""Judge and Executioner ""style. No one knows the real identity of Shahenshah, as he is feared by the police department, and respected by the poor and middle-class.",62201
Blue Moon,Drama,68,/AetJmEIrhww0xnfktYgNl6ztDrl.jpg,"On the evening of March 31, 1943, legendary lyricist Lorenz Hart confronts his shattered self-confidence in Sardi’s bar as his former collaborator Richard Rodgers celebrates the opening night of his ground-breaking hit musical “Oklahoma!”.",1299655
The Bad Guys 2,Family,77,/c1msaKf1wyuKcmLjjJd6rIBPFcd.jpg,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",1175942
Nobody 2,Action,70,/xGLoqM9peusKQeuwlSw2Qlhx740.jpg,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",1007734
Nuremberg,History,73,/fi7GXCxe0hIQRWwvIkZ1wI3fCHk.jpg,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",1214931
Holy Night: Demon Hunters,Action,67,/v3Mo77Qjp6pctpD4eJaNT6kFRSB.jpg,"When a devil-worshipping criminal network plunges Seoul into chaos, the police turn to Holy Night—a trio of supernatural demon hunters—to restore order and defeat the rising evil.",793387
Kulong,Drama,60,/AnzrE2WHg3DtZrtmB9AnEbAh17m.jpg,"Three friends retreat to a resort to collaborate on a daring screenplay for a contest. Faced with the challenge of writing about passion despite their own dry spells, their journey soon blurs the line between imagination and experience.",1266990
How the Grinch Stole Christmas,Family,67,/1WZbbPApEivA421gCOluuzMMKCk.jpg,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,8871
Laila,Comedy,52,/aFogllaRGlAhk1nqvVGFpZpl4qU.jpg,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",1403735
Laura's Toys,Drama,48,/rqzupBGrChmHG5Wl6wy5vI0V3Vz.jpg,"Archaeologist Walter and his wife Laura are working at a dig on a small island off the coast of Sweden. One day Laura catches Walter having a go at it with his sexy assistant, Anna. Laura calls in her old friend--and former lesbian lover--Hanni to help get her revenge on Walter by having she and Hanni seduce Anna.",81467
Predator,Sci-Fi,75,/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,106
Avatar: The Way of Water,Action,76,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",76600
Stolen Girl,Thriller,65,/fZlNXEHZsBp7unqw009MeBbMv87.jpg,"In 1993, Maureen’s six-year-old daughter Amina is snuck out of the country by her ex-husband, Karim. After years of unsuccessful attempts to find her, Maureen intersects with a professional retriever of internationally abducted children who promises to help her find Amina in exchange for her collaboration.",1280450
Mrs. Christmas,Comedy,78,/7DFyI1S8xJ34AkUutVBqDSfOtfJ.jpg,"When Santa Claus, in the midst of an existential crisis, suddenly disappears during the holiday season, his wife Margaret must roll up her sleeves and save the most special day of the year.",1291040
The Shawshank Redemption,Drama,87,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",278
Bramayugam,Horror,75,/snQLwRrfQAl5YFKVefZq9Lbscki.jpg,"A folk singer in 17th-century Kerala discovers a mansion. Inside, he encounters an enigmatic cook and a powerful master, setting in motion a chain of events that changes his life.",1166133
One X Two,Comedy,60,/q42qOEkYYfe7cUy3EWUHYTbRUAJ.jpg,"Two old friends have been betting on the football pool since college. They meet up one weekend where everyone seems happy, but the possibility of hitting the jackpot and becoming millionaires grows increasingly real.",1451296
The Strangers: Chapter 2,Horror,60,/aEk9jLbiKTVssdATbrF879NvyyJ.jpg,"When The Strangers learn that one of their victims, Maya, is still alive, they return to finish what they’ve started.",1010756
